label,text
spam,free money now
spam,win cash prize today
spam,limited time offer claim now
spam,congratulations you are a winner
spam,claim your free reward
spam,earn money fast at home
spam,exclusive deal just for you
spam,urgent respond to win prize
spam,get rich quick scheme
spam,cheap loans approved instantly

ham,meeting tomorrow at office
ham,project deadline reminder
ham,team meeting schedule update
ham,please review the attached document
ham,lunch meeting confirmed
ham,weekly report submission
ham,can we reschedule our meeting
ham,thank you for your help
ham,let us discuss this tomorrow
ham,invoice attached for your reference
